"x","y","nome_deputado","nome","partido","uf","twitter","ordem","Partido"
0.0685010402,-0.0511063162,"paulofeijo2288","PAULO FEIJÓ","PR","RJ","paulofeijo2288","NA","resto"
0.1055657094,-0.0364415659,"_paulomagalhaes","PAULO MAGALHÃES","PSD","BA","_paulomagalhaes","NA","resto"
0.0358110436,0.1019077208,"paulosalimmaluf","PAULO MALUF","PP","SP","paulosalimmaluf","NA","resto"
-0.234748994,-0.1468028849,"pauloteixeira13","PAULO TEIXEIRA","PT","SP","pauloteixeira13","NA","PT"
0.2063562059,-0.0534681867,"pedrocloficial","PEDRO CUNHA LIMA","PSDB","NA","NA","NA","NA"
-0.2441406754,0.0853708728,"pompeodemattos","POMPEO DE MATTOS","PDT","RS","pompeodemattos","NA","resto"
0.0854513923,-0.1100884776,"pradoweliton","WELITON PRADO","PT","MG","pradoweliton","NA","PT"
-0.223078975,-0.3478511664,"prascidelli","VALMIR PRASCIDELLI","PT","SP","prascidelli","NA","PT"
0.0664111692,0.0134892628,"rafaelmottarn","RAFAEL MOTTA","PROS","RN","rafaelmottarn","NA","resto"
-0.2415122441,-0.0890208894,"RaimundoAngelim","ANGELIM","PT","AC","RaimundoAngelim","NA","PT"
-0.003562857,0.140594573,"raimundo_matos","RAIMUNDO GOMES DE MATOS","PSDB","CE","raimundo_matos","NA","PSDB"
0.1997525124,-0.0540878436,"raquel_muniz","RAQUEL MUNIZ","PSC","MG","raquel_muniz","NA","resto"
0.0339738614,0.0967723494,"raul_jungmann","RAUL JUNGMANN","PPS","PE","raul_jungmann","NA","resto"
-0.1066632444,-0.1181276706,"reginaldolopes","REGINALDO LOPES","PT","MG","reginaldolopes","NA","PT"
0.1433411152,0.0589746672,"remidiomonai","REMÍDIO MONAI","PR","RR","remidiomonai","NA","resto"
0.0187810103,0.0513902688,"renataabreuptn","RENATA ABREU","PTN","SP","renataabreuptn","NA","resto"
-0.1371566471,0.0285670519,"renatomolling","RENATO MOLLING","PP","RS","renatomolling","NA","resto"
-0.0105026225,0.1535117363,"ricardobarrospp","RICARDO BARROS","PP","PR","ricardobarrospp","NA","resto"
0.0960910603,-0.0312266939,"ricardoizar","RICARDO IZAR","PSD","SP","ricardoizar","NA","resto"
-0.0499665784,0.2126489278,"ricardotripoli","RICARDO TRIPOLI","PSDB","SP","ricardotripoli","NA","PSDB"
0.0350700671,0.1756613464,"rodrigocastro45","RODRIGO DE CASTRO","PSDB","MG","rodrigocastro45","NA","PSDB"
-0.0076921454,0.2417127427,"rodrigogarcia_","RODRIGO GARCIA","DEM","SP","rodrigogarcia_","NA","resto"
0.1060847487,0.0110858755,"rodrigopsb","RODRIGO MARTINS","PSB","PI","rodrigopsb","NA","resto"
0.0294197203,0.0137500575,"rogeriorossodf","ROGÉRIO ROSSO","PSD","DF","rogeriorossodf","NA","resto"
0.0863288682,0.1188896935,"rogeriosmarinho","ROGÉRIO MARINHO","PSDB","RN","rogeriosmarinho","NA","PSDB"
0.1091065745,0.0502569744,"roman_evandro","EVANDRO ROMAN","PSD","PR","roman_evandro","NA","resto"
0.0681312434,0.0937057014,"romulogouveia","RÔMULO GOUVEIA","PSD","PB","romulogouveia","NA","resto"
0.0847342559,-0.0550641011,"_ronaldolessa","RONALDO LESSA","PDT","AL","_ronaldolessa","NA","resto"
0.1952826056,-0.0781627095,"ronaldoprb10","RONALDO MARTINS","PRB","CE","ronaldoprb10","NA","resto"
-0.0760316404,0.0752856688,"ronaldornrn","RONALDO NOGUEIRA","PTB","RS","ronaldornrn","NA","resto"
0.0547029102,-0.024556567,"roneynemer","RONEY NEMER","PMDB","DF","roneynemer","NA","PMDB"
0.0481906152,-0.0376466681,"rosangelasgomes","ROSANGELA GOMES","PRB","RJ","rosangelasgomes","NA","resto"
0.0358629862,0.199917292,"rossoni","ROSSONI","PSDB","PR","rossoni","NA","PSDB"
0.0290428049,0.1818161543,"rubensbuenopps","RUBENS BUENO","PPS","PR","rubensbuenopps","NA","resto"
0.0102353155,-0.2140594957,"rubensotoni","RUBENS OTONI","PT","GO","rubensotoni","NA","PT"
0.1176134443,-0.0532875934,"rubenspereirajr","RUBENS PEREIRA JÚNIOR","PCdoB","MA","rubenspereirajr","NA","resto"
-0.181862498,-0.3317737283,"saguasmoraes","SÁGUAS MORAES","PT","MT","saguasmoraes","NA","PT"
-0.1236166727,0.212907937,"samuelmoreira","SAMUEL MOREIRA","PSDB","SP","samuelmoreira","NA","PSDB"
0.0614837768,0.009368806,"sandes_junior","SANDES JÚNIOR","PP","GO","sandes_junior","NA","resto"
0.0204647405,0.0506334769,"sandroalex2323","SANDRO ALEX","PPS","PR","sandroalex2323","NA","resto"
0.1434644443,-0.0343822709,"sarneyfilho","SARNEY FILHO","PV","MA","sarneyfilho","NA","resto"
0.1945041847,-0.0620588235,"sergiobreis","SÉRGIO REIS","PRB","SP","sergiobreis","NA","resto"
-0.1452815546,0.057697934,"_sergiosouza","SERGIO SOUZA","PMDB","PR","_sergiosouza","NA","PMDB"
-0.3073461039,-0.1217689463,"sibamachado13","SIBÁ MACHADO","PT","AC","sibamachado13","NA","PT"
0.1754944219,-0.0537475036,"silasbrasileir","SILAS BRASILEIRO","PMDB","MG","silasbrasileir","NA","PMDB"
-0.0050252172,0.05297489,"silascamara_","SILAS CÂMARA","PSD","AM","silascamara_","NA","resto"
0.1681620687,-0.0072408497,"silasfreire","SILAS FREIRE","PR","PI","silasfreire","NA","resto"
0.0039216233,0.1256662799,"_silviotorres_","SILVIO TORRES","PSDB","SP","_silviotorres_","NA","PSDB"
0.065339305,-0.0803259626,"simao_sessim","SIMÃO SESSIM","PP","RJ","simao_sessim","NA","resto"
0.0448341379,-0.0292939641,"simone_morgado","SIMONE MORGADO","PMDB","PA","simone_morgado","NA","PMDB"
0.1873363454,-0.0558818839,"subgonzagamg","SUBTENENTE GONZAGA","PDT","MG","subgonzagamg","NA","resto"
0.0445951318,-0.0058112809,"terezacrisms","TEREZA CRISTINA","PSB","MS","terezacrisms","NA","resto"
0.1344326277,-0.1224867904,"tiaeron","TIA ERON","PRB","BA","tiaeron","NA","resto"
-0.0154779477,-0.0174237197,"torrespsd5528","FERNANDO TORRES","PSD","BA","torrespsd5528","NA","resto"
0.1578303504,-0.1219823963,"uczai","PEDRO UCZAI","PT","SC","uczai","NA","PT"
-0.1258130242,0.1541034182,"ulduricojunior","ULDURICO JUNIOR","PTC","BA","ulduricojunior","NA","resto"
0.1518593545,-0.1390064738,"valadares_filho","VALADARES FILHO","PSB","SE","valadares_filho","NA","resto"
0.0421184066,-0.2053260615,"valmirassuncao","VALMIR ASSUNÇÃO","PT","BA","valmirassuncao","NA","PT"
0.0080638384,-0.1803996789,"vanderfazmais","VANDER LOUBET","PT","MS","vanderfazmais","NA","PT"
0.0020308329,0.2107142994,"vanderleimacris","VANDERLEI MACRIS","PSDB","SP","vanderleimacris","NA","PSDB"
0.1613039881,-0.0102351206,"vergiliolucas77","LUCAS VERGILIO","SD","GO","vergiliolucas77","NA","resto"
-0.2872186262,-0.1985683915,"vicente_candido","VICENTE CANDIDO","PT","SP","vicente_candido","NA","PT"
0.1427657787,-0.1144769026,"vicentemarcus","MARCUS VICENTE","PP","ES","vicentemarcus","NA","resto"
0.0018089723,0.0113535609,"vicentinhojr","VICENTINHO JÚNIOR","PSB","TO","vicentinhojr","NA","resto"
-0.0823846835,-0.1695493871,"vicentinhopt","VICENTINHO","PT","SP","vicentinhopt","NA","PT"
-0.0441820479,-0.2486133807,"victoriogalli","PROFESSOR VICTÓRIO GALLI","PSC","MT","victoriogalli","NA","resto"
0.1937328597,-0.0609393903,"victormendesma","VICTOR MENDES","PV","MA","victormendesma","NA","resto"
-0.1419951441,0.2072240036,"vilelapedro","PEDRO VILELA","PSDB","AL","vilelapedro","NA","PSDB"
0.1510464694,-0.1083801044,"vitorvalim","VITOR VALIM","PMDB","CE","vitorvalim","NA","PMDB"
-0.2065849993,-0.3039861116,"wadih_damous","WADIH DAMOUS","PT","RJ","wadih_damous","NA","PT"
-0.1632546938,-0.1174668771,"wadson_ribeiro","WADSON RIBEIRO","PCdoB","MG","wadson_ribeiro","NA","resto"
0.0743870553,-0.1793483724,"waldenorpereira","WALDENOR PEREIRA","PT","BA","waldenorpereira","NA","PT"
-0.0352511214,-0.036137553,"waldirmaranhao","WALDIR MARANHÃO","PP","MA","waldirmaranhao","NA","resto"
0.0366246911,0.056385733,"walneyrocha","WALNEY ROCHA","PTB","RJ","walneyrocha","NA","resto"
-0.2038714355,0.0854670934,"walteralvesrn","WALTER ALVES","PMDB","RN","walteralvesrn","NA","PMDB"
0.1577152347,0.0424975989,"walterihoshi","WALTER IHOSHI","PSD","SP","walterihoshi","NA","resto"
0.0552447922,-0.0687756616,"wevertonrocha","WEVERTON ROCHA","PDT","MA","wevertonrocha","NA","resto"
0.0245095134,-0.0759257648,"zveitersergio","SERGIO ZVEITER","PSD","RJ","zveitersergio","NA","resto"
