Perfil,Categoria,dif_pt_psdb,DEM,PCdoB,PDT,PEN,PHS,PMDB,PMN,PP,PPS,PR,PRB,PROS,PRP,PRTB,PSB,PSC,PSD,PSDB,PSDC,PSL,PSOL,PT,PTB,PTC,PTdoB,PTN,PV,S.PART.,SD,Total de deputados seguindo
@acmneto_,político,11,16,2,2,,,10,1,9,3,3,2,3,1,,2,,11,15,,,,4,4,,1,1,2,,6,98
@vaccarezza,político,-29,3,4,3,,,15,,5,1,3,,3,,1,2,,7,5,,1,,34,5,,1,,1,,3,97
@RadiodoMoreno,jornalista,-3,4,6,4,,,11,1,7,3,5,,3,,1,5,,4,14,1,,1,17,5,,,1,1,,3,97
@instagram,"Instituição, partido, empresa",8,4,2,4,,,7,1,7,3,3,5,4,,,4,,12,16,,1,3,8,3,1,1,1,2,,5,97
@alvarodias_,político,31,8,1,2,,,9,,7,2,4,,3,,,5,1,11,33,,,,2,4,,,,,,4,96
@pauloteixeira13,deputado,-35,1,4,3,,,14,,2,,1,,3,,1,5,,6,6,,1,3,41,1,,,1,,,2,95
@DepMarcoMaia,deputado,-26,2,1,4,,,16,,6,1,4,,4,,1,3,,6,5,,1,1,31,3,,1,,,,4,94
@rfalcao13,político,-38,2,4,3,,,9,,5,,4,,2,,1,3,,5,6,,1,2,44,1,,,,,,1,93
@STJnoticias,"Instituição, partido, empresa",-12,1,2,3,,1,11,1,8,4,3,2,1,,1,5,,8,10,1,,,22,3,,,,,,6,93
@_mariadorosario,deputado,-39,,3,2,,,8,1,6,1,2,1,2,,1,4,,4,4,,1,4,43,3,,1,,,,2,93
@TwitPic,"Instituição, partido, empresa",-9,3,3,2,,,14,1,6,4,2,,1,,1,2,,9,9,1,,2,18,6,,1,1,1,,5,92
@renataloprete,jornalista,4,8,2,1,,1,12,1,3,1,4,,2,,1,3,,7,19,,,2,15,4,,,1,1,,4,92
@exame_com,mídia,12,5,1,,,1,11,1,3,3,3,1,2,1,,8,1,4,22,1,,1,10,7,,,1,1,1,3,92
@FR_BSB,jornalista,-1,8,1,1,,1,14,,3,3,4,,2,,1,5,,5,15,,,2,16,4,,1,1,,,5,92
@Pontifex_pt,personalidade,-10,3,2,2,,1,11,,6,5,2,2,3,,,4,,7,10,,1,1,20,5,,,2,1,,2,90
@ricardoberzoini,político,-34,,2,6,,,9,,1,1,3,1,2,,1,1,,5,7,,1,,41,6,,,,,,3,90
@LindbergFarias,político,-30,1,4,2,,,11,,6,,5,1,3,,1,3,,5,4,,1,1,34,3,,,,,,4,89
@imprensaPR,"Instituição, partido, empresa",-25,3,3,3,,,12,,4,1,3,1,3,,1,4,,7,3,1,,2,28,5,1,1,,1,,2,89
@UOL,mídia,6,6,1,1,,,11,,6,2,4,2,1,,,3,,3,22,,,,16,3,1,,,1,,5,88
@ptbrasil,"Instituição, partido, empresa",-52,1,4,1,,,9,,1,,,1,1,,1,4,,2,2,,1,1,54,1,,,1,,,2,87
@showdavida,mídia,0,3,2,4,,,11,1,4,4,4,2,4,,,5,,7,11,1,,1,11,5,,1,,,,6,87
@jornalhoje,mídia,0,7,1,1,,,10,,8,4,4,2,1,,,5,,7,11,1,1,,11,6,,,1,1,,5,87
@esuplicy,político,-30,1,1,4,,1,9,1,3,,1,1,2,,1,3,1,5,6,,,2,36,5,,1,,,,2,86
@MonicaWaldvogel,jornalista,6,4,2,2,,,13,1,6,3,1,1,1,,1,2,,6,20,1,,1,14,4,,,,1,,1,85
@ECantanhede,jornalista,9,5,2,1,,1,14,,3,2,3,,1,,,4,,7,21,,,,12,5,1,,1,1,,1,85
